n,N,time-mean,time-error,time_1to2-mean,time_1to2-error,time_2to1-mean,time_2to1-error,nruns
20,10000,0.317811,0.0025144717138993657,0.15792050000000002,0.001181575431362725,0.15795,0.0012940054095713807,2
40,10000,0.327431,0.004099805117319621,0.1632035,0.0018547410870523046,0.1622765,0.002221022399706949,2
60,10000,0.344856,0.002945806850423159,0.1718385,0.001440376513277005,0.1711145,0.0014813887065858267,2
80,10000,0.411709,0.009726960882002141,0.20522449999999998,0.004784991588289364,0.20456449999999998,0.004940555080150403,2
100,10000,0.438774,0.0019374725804511153,0.21878999999999998,0.0009291383104791303,0.2181245,0.0010118698038779606,2
120,10000,0.5199845,0.003158645991560307,0.259889,0.0014962379489907394,0.2581795,0.0016327095577597422,2
140,10000,0.7249855000000001,0.00666023877199606,0.3618745,0.003277439930799648,0.3612025,0.003401890724288487,2
160,10000,0.8622535,0.00036698841943577306,0.4308005,0.0010401540751254115,0.42951649999999997,0.001420577523403762,2
180,10000,1.0143625,0.022004455923744178,0.5075555,0.011136224696906985,0.5048475,0.010876009401430312,2
200,10000,1.443412,0.004084248768133501,0.7221055000000001,0.0016015968593875813,0.7194185,0.0024642671324351683,2
220,10000,1.6826475,0.0021701107114615063,0.8398125,0.0008167083322704745,0.840894,0.0013293607486307042,2
240,10000,1.9440395000000001,0.0005536646096690513,0.971097,0.0005727564927610876,0.9710155,7.071067812068809e-07,2
260,10000,2.718769,0.01753483395986376,1.358489,0.01068721189085353,1.358365,0.006847622069010545,2
280,10000,3.0861305,0.002106471101154614,1.542151,0.000910753534168242,1.5420845,0.0030030824996993464,2
300,10000,3.50526,0.021463519236136458,1.7527035,0.011170165822403934,1.7506490000000001,0.010298303161200737,2
