n,N,time-mean,time-error,time_1to2-mean,time_1to2-error,time_2to1-mean,time_2to1-error,nruns
20,10000,0.707622,0.0044759859249108086,0.355373,0.002812870775560112,0.3503125,0.00164119483913395,2
40,10000,0.7079930000000001,0.0033064313088283057,0.3526465,0.0021899097013347102,0.3534435,0.0011363205973667603,2
60,10000,0.7140345,0.009676756300537865,0.35752649999999997,0.006564072249754711,0.354578,0.0030292454506031376,2
80,10000,0.7929634999999999,0.005483613088101724,0.393502,0.0024550747442796754,0.39754599999999995,0.003056115508288253,2
100,10000,0.8331055,0.002621244837858543,0.41568499999999997,0.0006873077913133442,0.41546249999999996,0.00197494923985402,2
120,10000,0.9030255,0.000557907250356214,0.4474965,0.0010698525599352369,0.45359099999999997,0.0016320024509785744,2
140,10000,1.102959,0.005491391262694842,0.547624,0.0011497556262092593,0.553405,0.004357191985671507,2
160,10000,1.234924,0.0006010407640085777,0.6175455000000001,0.00011525840533342438,0.6154385,0.0005013387078613121,2
180,10000,1.3820540000000001,0.0003959797974643916,0.689632,0.0022061731573020365,0.6904524999999999,0.0026254874785456273,2
200,10000,1.826014,0.002870853531617349,0.9141794999999999,0.0008563063120168823,0.909877,0.002054852306128082,2
220,10000,2.0588035,0.0017104913036903792,1.0297895000000001,0.0002184959953865673,1.027046,0.0014424978336204295,2
240,10000,2.318474,0.005514018679692521,1.158277,0.004829539315504043,1.1582325,0.0006922575387816747,2
260,10000,3.080214,0.0021425335469954583,1.5396079999999999,0.0027068047583822205,1.5386395,0.0005706351724175454,2
280,10000,3.457701,0.00016122034611045855,1.730505,0.0007000357133747149,1.7252675,0.0004900249993623161,2
300,10000,3.8693965,0.0016086679271994147,1.933423,0.0004780041840821917,1.9340074999999999,0.0011631906550519544,2
320,10000,4.307297500000001,0.003604123263707924,2.1525635000000003,0.005026822107455346,2.152786,0.0014255272708719353,2
340,10000,5.587132,0.0010125769106593635,2.791168,0.0005317442994521874,2.7940355,0.0015096729778332776,2
360,10000,6.182850500000001,0.0017698882733098733,3.0911275,0.0005310371926709021,3.089779,0.0023079965337926872,2
380,10000,6.8095040000000004,0.0006745798692514241,3.4040355,0.0020032335111013926,3.403486,0.0012841059146346415,2
400,10000,8.598684500000001,0.0006300321420379813,4.2980944999999995,0.0008209509729580298,4.298589,0.00018950461735810575,2
420,10000,9.4096415,0.004725594618670164,4.7031805,0.0018094862530562024,4.7044239999999995,0.0029047946571140234,2
440,10000,10.2638815,0.0030073251403853318,5.1327745,0.0031869302628079544,5.1290895,0.000137885822331181,2
460,10000,12.6522015,0.003935049237303638,6.325603,0.0031183409050326923,6.324576,0.0008018590898652085,2
480,10000,13.708725999999999,0.0002531442276649979,6.8532345,0.00029486352775518333,6.8534925,0.000525380338421561,2
500,10000,14.817604,0.001169554616082738,7.4070540000000005,0.002279712262545668,7.4085165,0.00108540890912171,2
520,10000,17.8728135,0.0052799663351187735,8.9355275,0.0020442457044102923,8.935279000000001,0.0032583480477071016,2
540,10000,19.218666499999998,0.002188495487771158,9.6083575,0.0029210581130823315,9.608305999999999,0.0007410479066828298,2
560,10000,20.6171935,0.0045205336521250365,10.307990499999999,0.002235164535330969,10.307169,0.002250013777734822,2
580,10000,24.436619,0.0014665394641811495,12.218651000000001,0.002843983473932901,12.215924,0.0013590592334408436,2
600,10000,26.102939,9.333809511711014e-05,13.051965,0.00037618080759232607,13.048890499999999,0.000284964032818444,2
