n,N,time-mean,time-error,time_TplusdT-mean,time_TplusdT-error,nruns
20,10000,0.152704,3.394112549694897e-05,0.1508945,7.071067811872547e-07,2
40,10000,0.1664675,0.0011858180720498487,0.16468899999999997,0.0011978388873300123,2
60,10000,0.201005,0.0006165971131946777,0.1991705,0.0006342747827243198,2
80,10000,0.27349500000000004,0.001820092854774188,0.27172549999999995,0.001816557320868232,2
100,10000,0.4047265,0.0005918483758531238,0.4029425,0.0005946768029779121,2
120,10000,0.5646420000000001,0.0025243712088359477,0.562851,0.002532856490210195,2
140,10000,0.7837784999999999,0.0018123146801811087,0.781973,0.0017734238072158292,2
160,10000,1.0647645,0.0013145115062256738,1.0629485,0.0012918840892278385,2
180,10000,1.5320375,0.00010960155108384785,1.5302255,0.0001110157646464186,2
200,10000,1.996245,0.00020930360723127038,1.9944325,0.00019586857838873217,2
220,10000,2.555757,0.0013067333316329475,2.553922,0.0012770348468230438,2
240,10000,3.21318,0.0005557859300124364,3.2113605,0.0005579072503562926,2
260,10000,4.224971,0.000346482322780852,4.223154,0.0003450681092195373,2
280,10000,5.1493945,0.00047164022305140824,5.147549,0.0004850752518939464,2
300,10000,6.206399,7.071067811597781e-06,6.204546000000001,5.656854249655047e-06,2
320,10000,7.398941499999999,7.283199846234612e-05,7.39709,7.353910524300347e-05,2
340,10000,9.150075000000001,0.0012176378772026076,9.148209000000001,0.0012232947314528906,2
360,10000,10.6932645,0.0004886107857997454,10.691380500000001,0.0004900249993623161,2
380,10000,12.408059999999999,0.0007622611101201353,12.4061515,0.0007615540033369658,2
400,10000,14.297836499999999,0.003225114028992341,14.295917500000002,0.003222285601867199,2
420,10000,16.9908575,0.0008676200205159568,16.988916500000002,0.000860548952704359,2
440,10000,19.325692500000002,0.0005876057351671386,19.323724,0.0006165971131929309,2
460,10000,21.8515705,0.0008944900782010333,21.849603000000002,0.0009050966799171739,2
480,10000,24.600139,0.000357796031278906,24.598157999999998,0.0003464823227833641,2
500,10000,28.4421115,0.0007346839456518894,28.440095499999998,0.0007261986642764648,2
520,10000,31.7024495,0.0005055813485480824,31.7003755,0.0004914392129248869,2
540,10000,35.2075985,4.949747470881809e-06,35.205573,1.4142135638268449e-06,2
560,10000,38.954563,0.0026615499243889053,38.9525225,0.00265801439048185,2
580,10000,44.150855,0.0009022682527970566,44.148806500000006,0.000901561146012631,2
600,10000,48.5254955,0.00073185551852926,48.5234365,0.00073185551852926,2
