n,N,time-mean,time-error,time_1to2-mean,time_1to2-error,time_2to1-mean,time_2to1-error,nruns
20,10000,0.7152944999999999,0.008975306373600816,0.3568975,0.004438509265507982,0.3558305,0.004564374272559156,2
40,10000,0.75316,0.002011011685694511,0.3754095,0.0007346839456528314,0.37518549999999995,0.00127349931291697,2
60,10000,0.8318055,0.0002920351006300418,0.413185,0.00041719300090008773,0.4160455,0.00013364318164425375,2
80,10000,0.954688,0.004763071278072559,0.47622549999999997,0.0035305841584644102,0.47591300000000003,0.0012600642840744317,2
100,10000,1.2129785,0.0007530687219637393,0.6050135,0.0012635998179803484,0.6053075,0.0006710443353460963,2
120,10000,1.5340045,0.0008831763697020373,0.7653625,0.00119288913986178,0.7661505,0.00037405948724768484,2
140,10000,1.9676805,0.00508621907707484,0.982125,0.002380121425473905,0.982971,0.0026488220023248264,2
160,10000,2.5351350000000004,0.0090382388771265,1.2647475,0.004060914244354381,1.267758,0.0049285342648701805,2
180,10000,3.4681005000000003,0.0002934493141922986,1.7324975,0.001166019082176625,1.7330495,0.0015195724727698598,2
200,10000,4.3957835,0.00018455486988973609,2.1963055000000002,0.00010818733752127708,2.1968924999999997,0.0003896158364339222,2
220,10000,5.505942,0.005600285706997719,2.75308,0.003073086071036708,2.750271,0.0024480036764677245,2
240,10000,6.821811,0.0023532513677886717,3.4098995,0.0017571603512486205,3.4091335000000003,0.0007035712472806707,2
260,10000,8.841138999999998,0.0032343064171471664,4.4192995,0.0006583164132843725,4.419127,0.0026714494193225045,2
280,10000,10.692464000000001,0.0010394469683438121,5.3434415,0.00043769909755473404,5.346312,0.0013901719318123763,2
300,10000,12.8022745,0.0029493423843299786,6.3986205,0.0006597306268469431,6.400842,0.002132634052059033,2
320,10000,15.180984,0.0031353114677810296,7.589983,0.00016122034611045855,7.58832,0.003271075969768982,2
340,10000,18.682156,0.0010154053377851332,9.3389265,0.00035708892449950476,9.34048,0.0006731656556894814,2
