n,N,nruns,time-mean,time-error,compute_time-mean,compute_time-error,dt_time-mean,dt_time-error
20,10000,3,1.1588303333333332,0.007289516250524838,0.6870396666666667,0.005331959505347628,0.4692496666666666,0.0028196297924845985
30,10000,2,1.1577359999999999,0.005538060310252927,0.6850115,0.0014757318523362893,0.470035,0.0043246650737369325
40,10000,2,1.1958985,0.0005366940469205572,0.6841634999999999,0.003058236828631835,0.5091915,0.0026580143904802803
50,10000,2,1.2547774999999999,0.0026438722548566135,0.6960145,0.0021220274503408513,0.556228,0.0005458864350760896
60,10000,2,1.3032725,8.980256121068321e-05,0.6930215,0.0011363205973667996,0.607685,0.001077630734528277
70,10000,2,1.419181,0.0068603499910717975,0.7454529999999999,0.0015641201999846374,0.6712235,0.00534784858611385
80,10000,2,1.4841635,0.006388709768020389,0.7410045000000001,0.0017529177105614576,0.7406305,0.00465912658123813
90,10000,3,1.655975,0.009016758730275479,0.8495666666666667,0.007000263078389746,0.803801,0.0020074526146338038
100,10000,2,1.734115,0.0031183409050326923,0.852149,0.00012727922061354883,0.8793854999999999,0.003276025717237273
110,10000,2,1.874026,0.0010960155108391064,0.9079045,0.00027223611075687717,0.9635865,0.0014078496013424698
120,10000,2,2.0681744999999996,0.014712770796148508,0.9986140000000001,0.0060047507858362005,1.066973,0.008745496669715174
130,10000,2,2.3338155,0.0012183449839845211,1.1814225,0.004960354070023626,1.1498135,0.0037497872606323023
140,10000,2,2.5443605,0.009720596920971436,1.2642790000000002,9.616652224146664e-05,1.277403,0.009462502945838383
150,10000,2,2.76557,0.0036218009332375464,1.3680975,0.002704683438038521,1.394858,0.0008824692629207518
160,10000,2,2.993562,0.011100162251066416,1.4437645,0.010290524986607853,1.547246,0.0008075159441150205
170,10000,2,3.2972505,0.008990862722786975,1.6203470000000002,0.0015938186847944628,1.674347,0.010630643348358549
180,10000,3,3.5250896666666667,0.016002807274558634,1.7033983333333333,0.002529230054120615,1.8189166666666665,0.01352503741830932
190,10000,3,3.7076693333333335,0.009240495910213085,1.8156160000000001,0.004276257943576437,1.8893466666666665,0.01355823403569451
200,10000,2,3.9853305,0.012189813800874895,1.891167,0.00022061731573026644,2.091582,0.01198121730042491
210,10000,2,4.4619135,0.009936971596014303,2.167197,0.005221276472281508,2.2919375,0.005028236321017603
220,10000,2,4.7418695,0.0005649783181685184,2.2798845,0.0025957889937356445,2.4593165,0.00214324065377643
230,10000,2,5.1043199999999995,0.004681046891455465,2.448337,0.005167536356911354,2.6531089999999997,0.01018799450333576
240,10000,2,5.3588655,0.002935200248705527,2.56787,0.003314916590202396,2.78822,0.0006434671708798915
250,10000,2,6.0524875,0.006217589926973191,2.9569855,0.005702816190269655,3.0929185,0.0005211376977344768
260,10000,2,6.9553840000000005,0.006676502227963974,3.1170514999999996,0.0034839151109060515,3.8357555,0.003177030767871215
270,10000,2,7.367544,0.011664433462453334,3.335215,0.016952177972166246,4.029703,0.0052849160825877714
280,10000,2,7.8197325,0.012056877726012084,3.506518,0.00760139789775557,4.3106145,0.004428609770571125
290,10000,2,8.807426,0.032980874488103155,4.0875265,0.028388215944295803,4.717419,0.004615993067586002
300,10000,2,9.388506,0.015349874005997773,4.3456015,0.015340681617841691,5.0403715,3.181980515344609e-05
310,10000,2,9.836517,0.012428108786134786,4.5257685,0.012976116541554339,5.308237999999999,0.0005161879502661071
320,10000,2,10.26703,0.009923536567171138,4.7784285,0.01294641805674412,5.486055,0.003061772362538026
330,10000,2,12.440224,0.01791242898101803,5.4712375,0.01592050917841532,6.9664635,0.002017375646725216
340,10000,2,13.157143000000001,0.012613370762805179,5.750715,0.005423509011700866,7.4038319999999995,0.0073128983310316404
350,10000,2,13.8134315,0.01290540586343522,6.1490155,0.008167790429486345,7.661871,0.004798426617131883
360,10000,2,14.8505085,0.0027244824279113716,6.608843,0.006256480799938235,8.2390735,0.0035178562364030397
370,10000,2,16.2057085,0.00407929902066576,7.3823425,0.0012254160517961188,8.8207685,0.005248853636747241
380,10000,2,17.006439999999998,0.0022881975439179524,7.692016499999999,0.00355886842971194,9.3119005,0.005852722827880803
390,10000,2,19.17574,0.00033234018715765643,8.1406135,0.003478258256656083,11.03233,0.0028878240943650585
400,10000,2,19.9784215,0.021908289401502162,8.6194265,0.0010090413767529368,11.3563595,0.02296046429190911
