n,N,nruns,time-mean,time-error,compute_time-mean,compute_time-error,dt_time-mean,dt_time-error
20,10000,16,1.9456596249999998,0.0050357082113641205,0.42491024999999993,0.004059383724984207,1.3548154374999999,0.0025515712439701907
30,10000,2,1.9402205000000001,0.0026566001769178665,0.4191365,0.0012381439738576466,1.3570175,0.001484217133710458
40,10000,2,1.958638,0.009202287650361629,0.4086645,0.0024062843763778138,1.3773245,0.00322794245611654
50,10000,3,1.9497273333333334,0.0024134495367972267,0.41752100000000003,0.0036068448122978554,1.3657656666666667,0.0051652942962300405
60,10000,2,1.962847,0.0024720453070282873,0.422354,0.0021100066350606484,1.373358,0.001592404471232206
70,10000,2,2.0206855,0.0055472526984085375,0.4666455,0.002400627522128355,1.3878215,0.00868114995262731
80,10000,2,2.0480229999999997,0.0056724105986784654,0.4768515,0.002478409268058835,1.404028,0.0035609897500554818
90,10000,3,2.110688,0.007757922305617649,0.5196683333333333,0.0015991789038962009,1.42533,0.007488945486515404
100,10000,8,2.1899185,0.009089848403576383,0.5723526250000001,0.005147162661781415,1.45118725,0.004897138184486862
110,10000,2,2.256017,0.0017748380207782428,0.6231755,0.0003358757210636123,1.466853,0.0029995469657933906
120,10000,2,2.3399015,0.011597258318240643,0.666936,0.0041988000666857185,1.5022975,0.00729663487506396
130,10000,2,2.4518945,0.0023143604948236275,0.7591485,9.121677477309697e-05,1.5205555,0.0049928809819582
140,10000,4,2.6116759999999997,0.02153981611393709,0.85171025,0.007785416314780116,1.5887224999999998,0.01488066720801038
150,10000,2,2.792491,0.004566495592902934,1.0049635000000001,0.005369061789549585,1.616428,0.009772215715998046
160,10000,3,2.9130413333333336,0.014729289550642554,1.056213,0.005798660233191762,1.6868306666666666,0.013077530813065065
170,10000,2,3.032871,0.004681046891454837,1.1467775,0.0007940809152726393,1.7154639999999999,0.0051746074247231095
180,10000,3,3.1749466666666666,0.010152297038929947,1.2187076666666667,0.002667278044499102,1.7855983333333334,0.012418532045562621
190,10000,2,3.3474690000000002,0.00824345085507289,1.325739,0.0025059864325252756,1.851016,0.009924950780734337
200,10000,2,3.4966955,0.006001215251930009,1.379044,0.006413458505361924,1.9465824999999999,0.012131831044817501
210,10000,2,3.7581249999999997,0.021142492757477798,1.557105,0.012063241687042554,2.0308155,0.008715091078124298
220,10000,2,3.89138,0.0019049456685165409,1.5964144999999998,0.0010274261530640015,2.1249624999999996,0.001718976585064548
230,10000,7,4.156629000000001,0.025836233880175166,1.7464444285714287,0.015673965631044843,2.239778285714286,0.010595902346647153
240,10000,2,4.3739585000000005,0.0003471894295621374,1.853228,0.013183298828441908,2.3489645,0.012244968129807306
250,10000,2,4.7499775,0.01064690680432623,2.1270115,0.012174257451688816,2.452885,0.001780494875027584
260,10000,2,4.983167,0.013157842984319561,2.219804,0.01752069182424025,2.5930825,0.0038728238405586883
270,10000,2,5.318861,0.007783831447301763,2.4328849999999997,0.012849544427722154,2.715871,0.00420445692093506
280,10000,2,5.7012085,0.003062479469319311,2.6545995,0.0004928534264871436,2.8778495,0.0028800459197728034
290,10000,3,6.049571,0.022886416834008938,2.8301626666666664,0.007115462048712448,3.0496253333333336,0.016677481829300983
300,10000,2,6.437049999999999,0.01783323302152474,3.0511265,0.018265275264829822,3.2168004999999997,0.00015485638507983213
310,10000,2,6.935164,0.0034124973260065902,3.3267475,0.007669987255530517,3.4377785,0.004035458400231717
320,10000,2,7.370306,0.02024446714537065,3.532664,0.003464823227814172,3.6649445,0.019048749578384438
330,10000,2,7.998184,0.004070106632509049,3.9835095000000003,0.001847670019240275,3.8444019999999997,0.005579072503561984
340,10000,2,8.425263000000001,0.020852578977191925,4.1930130000000005,0.0013901719318130045,4.0620855,0.017841011196117626
350,10000,2,9.21129,0.008561648906607666,4.7133595,0.011110768852784126,4.3295635,0.018695196187791044
360,10000,2,10.144646999999999,0.0006477098115657197,5.2941325,0.014267293524001206,4.6789825,0.015149762786922271
370,10000,3,10.886534,0.05011012251032694,5.7047903333333325,0.05537270362883379,5.010433333333333,0.005970608902504537
380,10000,2,11.414784000000001,0.0008244865068632006,5.882532,0.003460580587127088,5.3606855,0.0022139513318949196
390,10000,2,12.289491,0.037874053413913464,6.375306,0.02679227593915827,5.740816,0.010962983535516207
400,10000,2,13.150509,0.010130011747278837,6.786106500000001,0.03894532018741135,6.192788,0.030176488993917214
