n,iterations,nruns,time-mean,time-error,compute_time-mean,compute_time-error,dt_time-mean,dt_time-error
20,1000,2,0.1210175,0.0005197234841721219,0.0712525,0.00039385847712090834,0.0495025,0.00011950104602052828
30,1000,2,0.1206305,0.004314058472019123,0.070517,0.002763373300877024,0.049846,0.001555634918610405
40,1000,2,0.1258505,0.003158645991560307,0.0720645,0.0023709290373184902,0.0535235,0.000791252488147748
50,1000,2,0.1301205,0.0008987327188881175,0.071765,0.0003238549057834388,0.058088,0.0005784133470105953
60,1000,2,0.13415700000000003,0.0037108963876670035,0.070594,0.002214658438676264,0.0633125,0.0014757318523363238
70,1000,2,0.1468255,0.0006922575387816355,0.076916,0.0005713422791987326,0.0696325,0.00011525840533340475
80,1000,2,0.1508785,0.002911158618145003,0.07530500000000001,0.0016150318882300707,0.0753315,0.001279156167166468
90,1000,2,0.166486,0.0013024906909456279,0.08422099999999999,0.001165311975395428,0.0820215,0.0001435426765808655
100,1000,2,0.176563,0.002043538597629125,0.08626900000000001,0.001558463345735149,0.09002550000000001,0.000495681853611765
110,1000,2,0.190206,0.0010762165209659222,0.09185650000000001,0.00047446865017616705,0.0980775,0.0005918483758531434
120,1000,2,0.2106345,0.0007742819253992785,0.101234,0.0004525483399593916,0.109142,0.00031112698372207803
130,1000,2,0.2401035,0.0010811662684342331,0.120902,0.0006689230150024757,0.118917,0.0004157787873376838
140,1000,2,0.260513,0.0029726769081082354,0.1290285,0.0023270884168849395,0.1312055,0.0006427600640985669
150,1000,2,0.278571,5.2325901807817595e-05,0.1367245,6.363961030665666e-06,0.14158500000000002,6.081118318204503e-05
160,1000,2,0.301877,0.001455225755681918,0.1449,0.00046386204845836807,0.15672,0.0010069200564096301
170,1000,2,0.33338,1.4142135623745095e-06,0.1633395,0.0008746910883277509,0.1697655,0.0008860047968267273
180,1000,2,0.3543115,0.00041082903986938284,0.1700795,0.0009001469324504724,0.183972,0.0013265323215059552
190,1000,2,0.3738015,0.0009058037866999509,0.183353,0.001168140402520187,0.190176,0.00025314422766478206
200,1000,2,0.40083599999999997,0.0012487505755754357,0.1889775,5.586143571373424e-05,0.2115985,0.0011943033534240759
210,1000,2,0.449979,1.5556349186119603e-05,0.2172695,0.0006752869760331413,0.23243,0.000656195092941105
220,1000,2,0.476752,0.001627759810291451,0.2283485,0.001310268865538668,0.24813,0.00031254119728445256
230,1000,2,0.513035,0.0008471139238615069,0.245149,0.0005458864350760111,0.2676035,0.00029344931419241627
240,1000,2,0.5398430000000001,0.0009036824663564087,0.2583605,0.00034011836175073585,0.28119700000000003,0.0005586143571373817
250,1000,2,0.6061475000000001,0.0008732768747653764,0.294526,0.0007212489168102932,0.3113355,0.0001435426765808753
260,1000,2,0.7026935,0.00029769195487953985,0.312443,0.00020506096654406835,0.3899705,9.121677477309697e-05
270,1000,2,0.7449605,0.0046718545032995405,0.33649850000000003,0.0036210938264563002,0.4081845,0.0010146982310026702
280,1000,2,0.7884265,0.0008478210306426353,0.352924,0.0019473720753877368,0.43523,0.002795900212811618
290,1000,2,0.8861645,0.0007742819253992393,0.411682,0.000534572726577015,0.4742055,0.0013258252147247483
300,1000,2,0.941905,9.899494936582313e-06,0.4343185,0.0029521708114538642,0.5072945,0.002940857102954868
310,1000,2,0.9896955000000001,0.0006979143930310942,0.456679,0.0,0.532737,0.000687307791313305
320,1000,2,1.0325705,0.0012494576823566818,0.4799735,0.0019056527752977477,0.552325,0.0031678383797156826
330,1000,2,1.250394,0.00017960512242136642,0.5490805000000001,0.0009779286783810116,0.7010255000000001,0.0008096372644586412
340,1000,2,1.320954,0.003126826186406861,0.576479,0.00016122034611053707,0.7441825,0.0029677271606399444
350,1000,2,1.3862865,0.0012423866145447702,0.617205,0.0017408968952812548,0.768794,0.0004963889603929425
360,1000,2,1.4900755,0.0022422356031424097,0.6635519999999999,0.0014509831149948336,0.8262375,0.0007771103525240668
370,1000,2,1.6316445,0.0010443967158124956,0.744761,0.0028100423484352845,0.8866205,0.0017953441174326143
380,1000,2,1.7099215,0.002160211216524924,0.7740935,0.00470013877454703,0.9355469999999999,0.002530028063085446
390,1000,2,1.9232040000000001,0.0009446946596652303,0.8143855,0.0005409366876077199,1.1085375000000002,0.0014856313472728718
400,1000,2,1.9998369999999999,0.0003606244584051466,0.8607965,0.002001819297539136,1.1387625,0.0016270527035101656
