n,iterations,nruns,time-mean,time-error,compute_time-mean,compute_time-error,dt_time-mean,dt_time-error
20,1000,2,0.120311,0.0039315137033972105,0.0708285,0.0024388112883124077,0.0492465,0.0014813887065858167
30,1000,2,0.1172575,0.0005607356774809238,0.0685065,0.0004419417382415926,0.0485235,0.00011525840533340967
40,1000,2,0.1218445,0.001810900466618744,0.0690895,0.0012565287501684955,0.052521,0.0005529575028878788
50,1000,2,0.12605349999999999,0.00010253048327203418,0.0692565,8.838834764831852e-05,0.056569499999999995,6.363961030680386e-06
60,1000,2,0.1336805,0.00139512167928106,0.070367,0.0007240773439350227,0.06308549999999999,0.0006611448404094257
70,1000,2,0.145736,0.0041082903986938285,0.0758405,0.0026198306242961587,0.0696655,0.0014927024150848032
80,1000,2,0.150479,0.00019374725804511154,0.07466300000000001,0.00028849956672411534,0.07558000000000001,8.343860018000774e-05
90,1000,2,0.167484,0.0016447303730399059,0.0849155,0.0011660190821766152,0.08233599999999999,0.0004836610383316014
100,1000,2,0.1794595,0.0026113453429219215,0.0882185,0.0016525085476329557,0.0910145,0.0009496444071335311
110,1000,2,0.19503700000000002,0.0022273863607376342,0.0947655,0.001115107393931182,0.10003100000000001,0.0011115718600252554
120,1000,2,0.2140825,0.003604123263707826,0.103523,0.00240981991028375,0.110325,0.0011935962466428985
130,1000,2,0.2351885,0.0006484169183480649,0.117287,0.0002814284989122428,0.117674,0.0003606244584051466
140,1000,2,0.25777,0.0028510545417441847,0.126095,0.0014269414844344473,0.131437,0.0014127993488107218
150,1000,2,0.2753005,0.0008676200205158783,0.1339815,0.00042355696193075343,0.1410695,0.0004122432534317573
160,1000,2,0.2983285,4.17193000900284e-05,0.142487,7.071067811872547e-06,0.155604,3.6769552621697995e-05
170,1000,2,0.328399,0.0009687362902255577,0.1595955,0.0006215468606629885,0.16857149999999999,0.0003528462838120868
180,1000,2,0.35044050000000004,0.0015379572490807284,0.16765249999999998,0.00020576807332529486,0.182557,0.0013237038943812063
190,1000,2,0.3692905,0.0067648905756116946,0.1788255,0.0026933697295395643,0.19022499999999998,0.004061621351135528
200,1000,2,0.3969815,0.0009015611460128666,0.185915,0.0008867119036079342,0.2108245,6.363961030665666e-06
210,1000,2,0.4417775,0.002075358402782532,0.2097535,0.001117935821055931,0.231777,0.0009503515139147086
220,1000,2,0.469132,4.384062043357054e-05,0.221695,1.1313708498996076e-05,0.24719200000000002,5.6568542494921494e-05
230,1000,2,0.510824,0.004690946386391498,0.239757,0.0018809040379562133,0.270823,0.0028199418433719455
240,1000,2,0.5314125000000001,0.0009510586206959351,0.2509765,0.0020385888501607947,0.28019499999999997,0.0010733880938411536
250,1000,2,0.608263,0.006745798692519737,0.29074449999999996,0.00247982348162121,0.317266,0.004272339171929114
260,1000,2,0.6939535,0.0005084097756730669,0.301836,0.00017677669529661742,0.3918785,0.0006823580438450139
270,1000,2,0.733655,0.0004652762620207033,0.3262965,0.00411041171903741,0.40710650000000004,0.004579930621745275
280,1000,2,0.779876,0.0015966471119192118,0.3454815,6.434671708794204e-05,0.434158,0.001531593288050063
290,1000,2,0.8705085,0.001383807970782064,0.39409700000000003,5.232590180777834e-05,0.4761645,0.0014347196590275071
300,1000,2,0.9260405,0.0033863343751024066,0.418061,0.00695227387262614,0.507741,0.0035708892449920642
310,1000,2,0.9738295,0.0011928891398617014,0.438292,0.0017083699833467193,0.5352905,0.000525380338421561
320,1000,2,1.005748,0.003002375392918061,0.449735,0.0007481189744953697,0.5557665,0.0037568583284441357
330,1000,2,1.2279974999999999,0.0016921065273793146,0.5250865,0.0009425733393216881,0.702646,0.002633265653138746
340,1000,2,1.3011314999999999,0.002153140148713012,0.5569949999999999,0.0034916932854991705,0.7439035,0.0013357247096613305
350,1000,2,1.3656964999999999,0.0008789337290147959,0.5956235000000001,0.0016114963543241638,0.7698320000000001,0.0007325626253092108
360,1000,2,1.466218,0.00010323759005322143,0.6378225,0.00022415284963614386,0.8281529999999999,0.00032951176003290743
370,1000,2,1.5967965,0.0034895719651555496,0.7108410000000001,0.003978182750955531,0.8857215,0.0004900249993622376
380,1000,2,1.6798515,0.0024911371901201666,0.7447825,0.005298351111430781,0.9348369999999999,0.002810042348435363
390,1000,2,1.903247,0.003483208004124923,0.7898575000000001,0.003642307029891918,1.1131484999999999,0.00017465537495315377
400,1000,2,1.9689510000000001,0.0012487505755755534,0.8289340000000001,0.0010620743853421968,1.1397745000000001,0.00018596908345214986
