n,N,time-mean,time-error,time_TplusdT-mean,time_TplusdT-error,nruns
20,10000,0.16193950000000001,0.01062003674664074,0.1601225,0.010569125058395317,2
40,10000,0.1673265,0.0039421203051150005,0.165497,0.0038975725779002617,2
60,10000,0.1693395,0.0011900607127369525,0.16756,0.0011794541110191437,2
80,10000,0.2073875,0.0002170817818242713,0.205606,0.00020647518010646248,2
100,10000,0.23472700000000002,0.002720946894005828,0.23293350000000002,0.0027357961364107408,2
120,10000,0.263716,0.005195820628158767,0.261892,0.005143494726350948,2
140,10000,0.3654725,4.8790367901900946e-05,0.363705,4.52548339959058e-05,2
160,10000,0.4287695,0.00025385133444596927,0.426985,0.00023758787847868206,2
180,10000,0.500834,0.0020025264043203035,0.49904899999999996,0.001986970055134184,2
200,10000,0.722672,0.0004907321061434444,0.7208765,0.0004659833688019102,2
220,10000,0.8435815,0.0021078853147171064,0.841759,0.0020590949468152443,2
240,10000,0.9818415,0.014346489483493863,0.9800605,0.014339418415681952,2
260,10000,1.3533075,0.0010472251429371664,1.3514985,0.0010387398615629977,2
280,10000,1.5439085,0.0020824294705943653,1.5421265,0.0020753584027824535,2
300,10000,1.7506504999999999,0.0005833630944789552,1.748859,0.0005953839097590797,2
320,10000,1.9873185000000002,0.024675905343067076,1.9855014999999998,0.024694290119377668,2
340,10000,2.610855,3.6769552621815746e-05,2.609043,1.4142135622567524e-06,2
360,10000,2.907473,0.00134491709781702,2.9056629999999997,0.0013548165927534455,2
380,10000,3.2396205,0.024344979369471834,3.2377925000000003,0.02436760678646951,2
400,10000,4.1361645,0.02792718232296242,4.1343295,0.027888998556778663,2
420,10000,4.524571,0.0025498270529583753,4.522718,0.0025144717138991302,2
440,10000,4.960314,0.015525236487732056,4.9584624999999996,0.015507558818201806,2
460,10000,6.1588405,0.023227750655196677,6.1570275,0.02324330700438307,2
480,10000,6.6857109999999995,0.015822221335830465,6.6838394999999995,0.01578757310355188,2
500,10000,7.287001500000001,0.012928033280433212,7.2851425,0.012898334795623622,2
520,10000,8.790109,0.0003493107499059935,8.7882335,0.00035143207024922163,2
540,10000,9.4496375,0.02282611400348373,9.4477435,0.022797829732234827,2
560,10000,10.1640935,0.00033587572106471143,10.1622445,0.0003387041481873408,2
580,10000,12.084813,0.005846358866849863,12.082887,0.0058237314498524985,2
600,10000,12.911530500000001,0.00879145861049213,12.909624,0.008762467232463825,2
