n,N,time-mean,time-error,time_TplusdT-mean,time_TplusdT-error,nruns
20,10000,0.3506605,0.00378938524037871,0.3488465,0.0037639293962559686,2
40,10000,0.354216,0.0038678740930904363,0.35236,0.0038551461710290657,2
60,10000,0.3578405,0.0022860762235761374,0.356009,0.0022655701269216873,2
80,10000,0.398922,0.009301282599727845,0.39700749999999996,0.009171882058770715,2
100,10000,0.42248549999999996,0.0038148410845014117,0.420628,0.0037999918420964993,2
120,10000,0.4531225,0.005444015108355237,0.45129949999999996,0.00542280190491962,2
140,10000,0.5553520000000001,0.0001810193359837017,0.5534565,0.00010253048327209305,2
160,10000,0.624987,0.0004101219330882152,0.6231435000000001,0.00040375797205751025,2
180,10000,0.6946334999999999,0.0016765501781933127,0.692761,0.0016390735187903685,2
200,10000,0.917829,0.0020237396077558427,0.9159785,0.002028689355224212,2
220,10000,1.0338835,0.0016906923138170578,1.0320385,0.001676550178193234,2
240,10000,1.164763,0.0028354981925581045,1.1628785000000001,0.0028602469298994815,2
260,10000,1.5451085,0.00030476302269129464,1.5432525,0.0003344615075013556,2
280,10000,1.7352925,0.0019042385617354125,1.73345,0.00188656089220579,2
300,10000,1.940267,2.6870057685076427e-05,1.938429,2.969848480990395e-05,2
320,10000,2.156668,0.00031112698372192104,2.1548135,0.0002750645378817047,2
340,10000,2.8006925000000003,4.737615433952644e-05,2.7988315000000004,4.313351365244216e-05,2
360,10000,3.0962475,2.3334523779277536e-05,3.0943810000000003,3.6769552621501734e-05,2
380,10000,3.4118114999999998,0.0009326738443851057,3.409929,0.0008838834764830086,2
400,10000,4.305996,0.00048790367901845993,4.3041155,0.0004490128060540441,2
420,10000,4.7098645,0.0006144757928509589,4.7080020000000005,0.0006010407640090487,2
440,10000,5.138962,0.0016631151493508528,5.136964,0.0017804948750278979,2
460,10000,6.328514,0.0023334523779158208,6.3266365,0.002324259989760367,2
480,10000,6.8632195,0.00393363502374044,6.8613235,0.0038714096269967455,2
500,10000,7.413755,0.0015938186847949338,7.411892,0.0015711912677963135,2
520,10000,8.943283999999998,0.002814284989122683,8.9413915,0.002795193106029862,2
540,10000,9.6160165,0.00022273863607412262,9.614106,0.00021778888860575295,2
560,10000,10.317199500000001,0.0018801969311746925,10.3152905,0.0018405989514289913,2
580,10000,12.223438,0.00015132085117371924,12.2214735,0.00016051323932854514,2
600,10000,13.059287,0.00024183051916568782,13.057350499999998,0.00022839549032314962,2
