n,iterations,nruns,time_benchmark-mean,time_benchmark-error,time_latency-mean,time_latency-error,message_rate-mean,message_rate-error
100000,1000,2,0.049997,0.00029415642097360353,49.9969165,0.2940807605480197,8.000632,0.047059370501527545
120000,1000,3,0.053534,0.0037905555661406683,53.53409633333333,3.7902688650536605,9.023903333333333,0.6111161603395602
140000,1000,2,0.0506225,0.002230921894643561,50.622380500000006,2.2309678565843347,11.073053999999999,0.48799843132739584
160000,1000,2,0.049502500000000005,0.0002920351006300467,49.502356500000005,0.29237804741892065,12.9289025,0.07636258262067915
190000,1000,2,0.049306,0.00015273506473629492,49.305915999999996,0.15311690239813638,15.4140465,0.04786759355242369
220000,1000,2,0.049228499999999994,0.00022132442251138993,49.228507,0.22122542756202365,17.876002,0.08033157298347694
260000,1000,2,0.049774,0.0003917371567773466,49.774107,0.39183615172671615,20.895045500000002,0.16449212918708106
310000,1000,2,0.049227,0.0002630437226013938,49.2272235,0.2633371719155907,25.1896745,0.13474980375681403
370000,1000,3,0.05367466666666667,0.003901435013769508,53.67442833333333,3.9014077451822655,27.758331666666663,1.905642786878791
440000,1000,2,0.051277500000000004,0.0011292495295549124,51.277786,1.1289822431916254,34.331176,0.7558688648171747
520000,1000,2,0.0507935,0.00030193459556665357,50.793469,0.30195722298365163,40.9508705,0.24344484394725122
620000,1000,2,0.0519645,0.00032456201256462114,51.964150000000004,0.32457474048668195,47.7261415,0.29810419813297206
740000,1000,2,0.052554000000000003,0.001057831744655078,52.554205499999995,1.0579314467112235,56.334214,1.1340239145414879
880000,1000,2,0.053434999999999996,0.0011271282092113605,53.434912499999996,1.1268870857989688,65.8891865,1.3895348286029
1000000,1000,2,0.053814,0.00034223968209428783,53.813854,0.3419780525852536,74.33180250000001,0.4723664217157123
1200000,1000,2,0.0549805,0.0005847773080412757,54.9807605,0.5846705349173177,87.3082035,0.9284432245132186
1400000,1000,2,0.056195999999999996,0.0009531799410394626,56.1958285,0.9531438785936255,99.66586050000001,1.690444119336846
1600000,1000,2,0.057967000000000005,0.0012614784976368015,57.966633,1.26158032101329,110.4344995,2.40348635484467
1900000,1000,2,0.05876,0.0009998489885977772,58.759632499999995,0.9997789850264426,129.3592205,2.2010119849061485
2200000,1000,2,0.059981,1.2727922061360772e-05,59.9810285,0.013363611057647858,146.71305949999999,0.03268742517392185
2600000,1000,2,0.062612,0.00029415642097360353,62.612016999999994,0.2936642746538972,166.1041265,0.7790655027739968
3100000,1000,3,0.07243833333333334,0.004780502083114982,72.43839233333334,4.78020720273276,172.22836833333335,11.920313327734812
3700000,1000,2,0.0685675,0.00021142492757477327,68.567282,0.21112370008599374,215.847409,0.6646096636372522
4400000,1000,2,0.072411,0.0005812417741353444,72.41056499999999,0.5813153132405926,243.066287,1.9513474297115878
5200000,1000,2,0.082569,0.007071067811865472,82.56901049999999,7.070579201079672,252.83750750000002,21.651072945885176
6200000,1000,2,0.082111,9.475230867899399e-05,82.1112425,0.09471341780603006,302.02948749999996,0.3483837329160079
7400000,1000,2,0.08873149999999999,0.00024253762594698305,88.7311625,0.24262035744038926,333.59318,0.9121536055950326
8800000,1000,2,0.0966435,0.00043487067042972,96.64331899999999,0.4348833983517925,364.2295895,1.6389893730834557
10000000,1000,2,0.1036765,0.00020435385976291052,103.676189,0.20428173487123347,385.8174,0.7602076720265138
12000000,1000,2,0.1153275,0.00022698127676087324,115.327807,0.22687379653014,416.205719,0.8187631845766085
14000000,1000,2,0.1312605,0.006757819507799822,131.2607715,6.758081844415657,427.19786150000004,21.994675929853575
16000000,1000,2,0.1376075,0.0005621498910432984,137.6075315,0.5619313950479188,465.09470050000004,1.8992513376076627
19000000,1000,2,0.15419850000000002,0.00012798632739477534,154.19881700000002,0.12808390813057186,492.8703585,0.4093985628510501
22000000,1000,2,0.17073349999999998,0.0005055813485483769,170.733544,0.5057666105250492,515.4252885000001,1.5268521370822363
26000000,1000,2,0.19292700000000002,0.0005713422791987326,192.9271065,0.570846597345119,539.0660605,1.5950271302834627
31000000,1000,2,0.22011950000000002,7.071067811872547e-07,220.119278,0.00039739401102837545,563.330941,0.0010168195513514723
37000000,1000,2,0.253029,0.00033092597359532115,253.02874250000002,0.33062403899972864,584.914286,0.7642876781539087
44000000,1000,2,0.29649349999999997,0.0069657089014686785,296.4936735,6.966164985342519,593.768458,13.950682220084001
52000000,1000,2,0.335765,0.0002588010819142997,335.765033,0.25840510211679657,619.4810095,0.47675331218616124
62000000,1000,2,0.39199399999999995,0.0005557859300126327,391.9938615,0.5560708940454495,632.663605,0.8974783114582793
74000000,1000,2,0.4571655,0.00021001071401239877,457.16520249999996,0.20984737234593878,647.4684195,0.29720051566660116
88000000,1000,2,0.5344819999999999,2.9698484809825446e-05,534.481948,0.029248764896951177,658.581645,0.0360398184235242
100000000,1000,2,0.600336,4.101219330882152e-05,600.3356345,0.04098320193077877,666.2939495,0.0454860579133409
